"Name.of.Satellite..Alternate.Names","Country.Org.of.UN.Registry","Users","Purpose","Class.of.Orbit","Period..minutes.","Launch.Mass..kg..","Date.of.Launch","Launch.Site","Distance"
"SDS III-6 (Satellite Data System) NRO L-27, Gryphon, USA 227)","USA","Military","Communications","GEO","14.36","",2011-03-02,"Cape Canaveral",35786.5
"SDS III-7 (Satellite Data System) NRO L-38, Drake, USA 236)","USA","Military","Communications","GEO","23.94","",2012-06-20,"Cape Canaveral",35788
"SDS III-8 (Satellite Data System) NRO L-33, USA 252)","NR","Military","Communications","GEO","23","",2014-05-22,"Cape Canaveral",35500
"SDS-4 (Small Demonstration Satellite-4)","Japan","Government","Technology Development","LEO","98.1","50",2012-05-17,"Tanegashima Space Center",667
"SEEDS 2","Japan","Civil","Technology Development","LEO","97","3",2008-04-28,"Sriharikota Launch Station",617
"Sentinel 1A","ESA","Government","Earth Observation","LEO","98.61","2,300",2014-04-03,"Guiana Space Center",692
"Sentinel 2A","NR","Government","Earth Observation","LEO","100.62","2,300",2015-06-23,"Guiana Space Center",787.5
"SES-1 (AMC-4R)","USA","Commercial","Communications","GEO","1436.1","",2010-04-24,"Baikonur Cosmodrome",35787
"SES-2","NR","Commercial","Communications","GEO","1436.19","3,200",2011-09-21,"Guiana Space Center",35788
"SES-3","NR","Commercial","Communications","GEO","1439.41","3,112",2011-07-15,"Baikonur Cosmodrome",35851
"SES-4","NR","Commercial","Communications","GEO","1436.1","",2012-02-14,"Baikonur Cosmodrome",35786.5
"SES-5 (Sirius 5, Astra 4B)","United Kingdom","Commercial","Communications","GEO","1436.12","6,007",2012-07-09,"Baikonur Cosmodrome",35787
"SES-6","NR","Commercial","Communications","GEO","1436.09","6,140",2013-06-03,"Baikonur Cosmodrome",35786.5
"SES-7 (Protostar 2, Indostar 2)","NR","Commercial","Communications","GEO","1436.1","4,007",2009-05-16,"Baikonur Cosmodrome",35786.5
"SES-8","NR","Commercial","Communications","GEO","1436.07","3,138",2013-12-03,"Cape Canaveral",35786
"Shijian 11-01 (SJ-11-01)","China","Government","Space Science","LEO","98.7","",2009-11-12,"Jiuquan Satellite Launch Center",694.5
"Shijian 11-02 (SJ-11-02)","China","Government","Technology Development","LEO","98.7","",2011-07-29,"Jiuquan Satellite Launch Center",695
"Shijian 11-03 (SJ-11-03)","NR","Government","Technology Development","LEO","98.7","",2011-07-06,"Jiuquan Satellite Launch Center",695.5
"Shijian 11-05 (SJ-11-05)","China","Government","Technology Development","LEO","98.7","",2013-07-15,"Jiuquan Satellite Launch Center",696.5
"Shijian 11-06 (SJ-11-06)","China","Government","Technology Development","LEO","98.69","",2014-03-31,"Jiuquan Satellite Launch Center",696
"Shijian 11-07 (SJ-11-07)","NR","Government","Technology Development","LEO","98.69","",2014-09-28,"Jiuquan Satellite Launch Center",696
"Shijian 11-08 (SJ-11-08)","NR","Government","Technology Development","LEO","98.6","",2014-10-27,"Jiuquan Satellite Launch Center",697.5
"Shijian 12 (SJ-12)","China","Government","Technology Development","LEO","96.5","",2010-06-15,"Jiuquan Satellite Launch Center",592
"Shijian 15 (SJ-15)","NR","Government","Technology Development","LEO","98.08","",2013-07-19,"Taiyuan Launch Center",667
"Shijian 16 (SJ-16)","China","Government","Technology Development","LEO","96.85","",2013-10-25,"Jiuquan Satellite Launch Center",607.5
"Shijian 6A (SJ-6A, Dong Fang Hong 60)","China","Government","Space Science","LEO","96.5","",2004-09-08,"Taiyuan Launch Center",592.5
"Shijian 6B (SJ-6B)","China","Government","Space Science","LEO","96.5","",2004-09-08,"Taiyuan Launch Center",592.5
"Shijian 6C (SJ-6-02A)","China","Government","Space Science","LEO","96.5","",2006-10-23,"Taiyuan Launch Center",592.5
"Shijian 6D (SJ-6-02B)","China","Government","Space Science","LEO","96.6","",2006-10-23,"Taiyuan Launch Center",594.5
"Shijian 6E (SJ6-03A, SJ-6E)","China","Government","Space Science","LEO","96.6","",2008-10-25,"Taiyuan Launch Center",594
"Shijian 6F (SJ6-03B, SJ-6F)","China","Government","Space Science","LEO","96.5","",2008-10-25,"Taiyuan Launch Center",590.5
"Shijian 6G (SJ6-04A)","China","Government","Earth Observation","LEO","96.6","",2010-10-06,"Taiyuan Launch Center",593.5
"Shijian 6H (SJ6_04B)","China","Government","Earth Observation","LEO","96.6","",2010-10-06,"Taiyuan Launch Center",594
"Shijian 7 (SJ7, Dong Fang Hong 65)","China","Government","Space Science","LEO","95.9","",2005-07-05,"Jiuquan Satellite Launch Center",562.5
"Shijian 9A (SJ 9A)","China","Government","Technology Development","LEO","97.44","",2012-10-14,"Taiyuan Launch Center",636.5
"Shijian 9B (SJ 9B)","China","Government","Technology Development","LEO","97.46","",2012-10-14,"Taiyuan Launch Center",637.5
"Shiyan 1 (SY 1, Tansuo 1, Experimental Satellite 1)","China","Government","Earth Observation","LEO","96.6","204",2004-04-18,"Xichang Satellite Launch Center",593.5
"Shiyan 3 (SY3, Experimental Satellite 3)","China","Government","Earth Observation","LEO","100.8","300",2008-11-05,"Jiuquan Satellite Launch Center",794
"Shiyan 4 (SY4, Experimental Satellite 4)","China","Government","Earth Observation","LEO","100.7","300",2011-11-20,"Jiuquan Satellite Launch Center",793
"Shiyan 5 (SY5, Experimental Satellite 5)","China","Government","Earth Observation","LEO","99.7","204",2013-11-25,"Jiuquan Satellite Launch Center",747
"Shiyan 7 (SY7, Experimental Satellite 7)","NR","Military","Technology Development","LEO","98.15","",2013-07-19,"Taiyuan Launch Center",670
"Sicral 1A ","Italy","Military","Communications","GEO","1436.06","2,596",2001-02-07,"Guiana Space Center",35785.5
"Sicral 1B","Italy","Military/Commercial","Communications","GEO","1436.52","3,038",2009-04-20,"Sea Launch (Odyssey)",35795
"Sicral 2/Syracuse 3C","NR","Military","Communications","GEO","1436","4,400",2015-04-26,"Guiana Space Center",35785
"Sina-1 (Sinah 1, ZS1)","NR","Government","Communications","LEO","98.6","170",2005-10-27,"Plesetsk Cosmodrome",692
"Sinosat-6 (Chinasat-6A, XN-6)","China","Commercial","Communications","GEO","1436.1","5,000",2010-09-04,"Xichang Satellite Launch Center",35795
"Sirius 4 (Astra 4A)","Sweden","Commercial","Communications","GEO","1436.1","4,400",2007-11-17,"Baikonur Cosmodrome",35785.5
"Sirius FM-5","USA","Commercial","Communications","GEO","1436","5,800",2009-06-30,"Baikonur Cosmodrome",35786
"Sirius FM-6","USA","Commercial","Communications","GEO","1436.16","6,020",2013-10-25,"Baikonur Cosmodrome",35788
"Sirius XM-5","USA","Commercial","Communications","GEO","1436.12","5,983",2010-10-14,"Baikonur Cosmodrome",35787
"Sky Mexico-1","NR","Commercial","Communications","GEO","1436","3,180",2015-05-27,"Guiana Space Center",35794
"Skynet 4C ","United Kingdom","Military","Communications","GEO","1436.07","1,474",1990-08-30,"Guiana Space Center",35786
"Skynet 4E ","United Kingdom","Military","Communications","GEO","1436.06","1,510",1999-02-26,"Guiana Space Center",35785.5
"Skynet 4F ","United Kingdom","Military","Communications","GEO","1436.15","1,510",2001-02-07,"Guiana Space Center",35787
"Skynet 5A","United Kingdom","Military","Communications","GEO","1436.1","4,700",2007-03-11,"Guiana Space Center",35786.5
"Skynet 5B","United Kingdom","Military","Communications","GEO","1436.1","4,635",2007-11-14,"Guiana Space Center",35751.5
"Skynet 5C","United Kingdom","Military","Communications","GEO","1436.1","4,600",2008-06-12,"Guiana Space Center",35786.5
"Skynet 5D","United Kingdom","Military","Communications","GEO","1436.24","4,638",2012-12-19,"Guiana Space Center",35789.5
"SkySat-1","USA","Commercial","Earth Observation","LEO","96.34","",2013-11-21,"Dombarovsky Air Base",583
"SkySat-2","NR","Commercial","Earth Observation","LEO","97.31","90",2014-07-08,"Baikonur Cosmodrome",630
"SkyTerra 1","USA","Commercial","Communications","GEO","1436.09","5,360",2010-11-14,"Baikonur Cosmodrome",35786.5
"SMAP (Soil Moisture Active Passive Satellite)","NR","Government","Earth Observation","LEO","98.21","",2015-01-31,"Vandenberg AFB",673
"SMDC-ONE 1.1 (Techsat)","USA","Military","Technology Development","LEO","97.5","5",2012-09-13,"Vandenberg AFB",643
"SMDC-ONE 1.2 (ORSES [Operationally Responsive Space Enabler Satellite])","USA","Military","Technology Development","LEO","97.4","3",2012-09-13,"Vandenberg AFB",636
"SMDC-ONE 2.3","NR","Military","Technology Development","LEO","98","5",2013-12-06,"Vandenberg AFB",664.5
"SMDC-ONE 2.4","NR","Military","Technology Development","LEO","98","5",2013-12-06,"Vandenberg AFB",664.5
"SMOS (Soil Moisture and Ocean Salinity satellite)","ESA","Government","Earth Observation","LEO","100","658",2009-11-02,"Plesetsk Cosmodrome",759.5
"SNaP-3-1  (Space and Missile Defense Command NanoSat Program)","NR","Military","Communications","LEO","98","",2013-12-06,"Vandenberg AFB",664.5
"SOCRATES  (Space Optical Communications Research Advanced TEchnology Satellite)","Japan","Commercial","Technology Development","LEO","97.17","48",2014-05-24,"Tanegashima Space Center",623.5
"SOHLA 1 (Space Oriented Higashiosaka Leading Association, Maido 1)","Japan","Civil","Technology Development","LEO","98","50",2009-01-23,"Tanegashima Space Center",661
"SORCE (SOlar Radiation and Climate Experiment)","USA","Government/Civil","Space Science","LEO","97","315",2003-01-25,"Cape Canaveral",616.5
"Spaceway 3","USA","Commercial","Communications","GEO","1436.1","6,100",2007-08-14,"Guiana Space Center",35786
"Spaceway F1","USA","Commercial","Communications","GEO","1436.1","5,993",2005-04-26,"Sea Launch (Odyssey)",35786
"Spaceway F2","USA","Commercial","Communications","GEO","1436.1","5,993",2005-11-16,"Guiana Space Center",35786
"Spainsat","NR","Military","Communications","GEO","1436.1","3,680",2006-03-11,"Guiana Space Center",35785.5
"SpinSat (Special Purpose Inexpensive Satellite)","NR","Military","Technology Development","LEO","92.81","50",2014-11-28,"International Space Station",412.5
"Spot 5 (Système Probatoire d’Observation de la Terre)","France","Commercial","Earth Observation","LEO","101.4","3,030",2002-05-04,"Guiana Space Center",825
"Spot 6 (Système Probatoire d’Observation de la Terre)","France","Commercial","Earth Observation","LEO","98.73","720",2012-09-09,"Sriharikota Launch Station",697.5
"Spot 7 (Système Probatoire d’Observation de la Terre)","NR","Commercial","Earth Observation","LEO","97.77","714",2014-06-30,"Sriharikota Launch Station",651.5
"SPROUT  (SPace Research On Unique Technology)","Japan","Civil","Technology Development","LEO","97.13","7",2014-05-24,"Tanegashima Space Center",621.5
"SRMSat (Sri Ramaswamy Memorial Satellite)","India","Civil","Technology Development","LEO","102.1","11",2011-10-12,"Sriharikota Launch Station",859
"SSOT (Sistema Satelital para la Observación de la Tierra)","Chile","Government/Military","Earth Observation","LEO","97.2","117",2011-12-17,"Guiana Space Center",623
"ST-2 (Singapore-Taiwan 2)","NR","Commercial","Communications","GEO","1436.12","5,090",2011-05-20,"Guiana Space Center",35787
"Star One C1","Brazil","Commercial","Communications","GEO","1436","4,100",2007-11-14,"Guiana Space Center",35740.5
"Star One C2","Brazil","Commercial","Communications","GEO","1436.1","4,100",2008-04-18,"Guiana Space Center",35786
"Star One C3","Brazil","Commercial","Communications","GEO","1437.78","3,225",2012-11-10,"Guiana Space Center",35819.5
"Star One C4","NR","Commercial","Communications","GEO","1436.1","5,634",2015-07-15,"Guiana Space Center",35793.5
"STARE-B (Horus [Space-Based Telescopes for Actionable Refinement of Ephemeris])","USA","Military","Space Science","LEO","94.6","3",2013-11-19,"Wallops Island Flight Facility",503
"STPSat-2 (USA 217)","USA","Military","Technology Development","LEO","97.73","180",2010-11-20,"Kodiak Launch Complex",650
"STPSat-3 (Space Test Program Satellite-3) ","USA","Military","Technology Development","LEO","94.66","137",2013-11-19,"Wallops Island Flight Facility",502
"STRaND-1 (Surrey Training, Research and Nanosatellite Demonstrator 1)","United Kingdom","Commercial","Technology Development","LEO","100.4","4",2013-02-25,"Sriharikota Launch Station",777.5
"Strela 3 (Cosmos 2384)","Russia","Military","Communications","LEO","114.3","225",2001-12-27,"Plesetsk Cosmodrome",1424
"Strela 3 (Cosmos 2385)","Russia","Military","Communications","LEO","114.2","225",2001-12-27,"Plesetsk Cosmodrome",1421
"Strela 3 (Cosmos 2386)","Russia","Military","Communications","LEO","114.2","225",2001-12-27,"Plesetsk Cosmodrome",1417
"Strela 3 (Cosmos 2390)","Russia","Military","Communications","LEO","115.7","225",2002-07-08,"Plesetsk Cosmodrome",1487
"Strela 3 (Cosmos 2391)","Russia","Military","Communications","LEO","115.7","225",2002-07-08,"Plesetsk Cosmodrome",1486
"Strela 3 (Cosmos 2400)","Russia","Military","Communications","LEO","115.7","225",2003-08-19,"Plesetsk Cosmodrome",1485
"Strela 3 (Cosmos 2401)","Russia","Military","Communications","LEO","115.6","225",2003-08-19,"Plesetsk Cosmodrome",1483.5
"Strela 3 (Cosmos 2408)","Russia","Military","Communications","LEO","115.5","225",2004-09-23,"Plesetsk Cosmodrome",1483
"Strela 3 (Cosmos 2409)","Russia","Military","Communications","LEO","115.6","225",2004-09-23,"Plesetsk Cosmodrome",1484.5
"STSat-2C","South Korea","Government","Technology Development","LEO","102.77","93",2013-01-30,"Naro Space Center",890
"STSat-3","South Korea","Government","Technology Development","LEO","96.88","150",2013-11-21,"Dombarovsky Air Base",609.5
"STSS ATRR (Space Tracking and Surveillance System Advanced Technology Risk Reduction Satellite, USA 205)","USA","Military","Technology Development","LEO","102.41","",2009-05-05,"Vandenberg AFB",873
"STSS Demo-1 (Space Tracking and Surveillance System Demonstrator)","USA","Military","Technology Development","LEO","112.68","2,240",2009-09-25,"Cape Canaveral",1349.5
"STSS Demo-2 (Space Tracking and Surveillance System Demonstrator)","USA","Military","Technology Development","LEO","112.58","2,240",2009-09-25,"Cape Canaveral",1345
"STUDSat (Student Satellite)","India","Civil","Technology Development","LEO","97.2","1",2010-07-12,"Sriharikota Launch Station",624
"Superbird 7 (Superbird C2)","Japan","Commercial","Communications","GEO","1436.1","5,000",2008-08-14,"Guiana Space Center",35786
"Superbird-B2 (Superbird 4)","Japan","Commercial","Communications","GEO","1436.09","4,051",2000-02-18,"Guiana Space Center",35786
"Superbird-C ","Japan","Commercial","Communications","GEO","1436.12","3,130",1997-07-28,"Cape Canaveral",35786.5
"Suzaku (Astro E2)","Japan","Government","Space Science","LEO","95.7","1,600",2005-07-10,"Uchinoura Space Center",553
"SWARM-A","ESA","Government","Earth Observation","LEO","93.9","468",2013-11-22,"Plesetsk Cosmodrome",474.5
"SWARM-B","ESA","Government","Earth Observation","LEO","93.9","468",2013-11-22,"Plesetsk Cosmodrome",474.5
"SWARM-C","ESA","Government","Earth Observation","LEO","94","468",2013-11-22,"Plesetsk Cosmodrome",491
"Swift ","USA","Government/Civil","Space Science","LEO","96.3","1,463",2004-11-20,"Cape Canaveral",580.5
"SwissCube","NR","Civil","Technology Development","LEO","99.1","1",2009-09-23,"Sriharikota Launch Station",715
"Syracuse 3A (Systeme de Radio Communications Utilisant un Satellite)","France","Military","Communications","GEO","1436.06","3,725",2005-10-13,"Guiana Space Center",35785
"Syracuse 3B (Systeme de Radio Communications Utilisant un Satellite)","France","Military","Communications","GEO","1436.09","3,750",2006-08-11,"Guiana Space Center",35786.5
"TacSat 6","NR","Military","Technology Development","LEO","98","",NA,"Vandenberg AFB",664.5
"TanDEM-X (TerraSAR-X add-on for Digital Elevation Measurement)","Germany","Government","Earth Observation","LEO","94.8","1,350",2010-06-21,"Baikonur Cosmodrome",508.5
"TDRS-10 (Tracking and Data Relay Satellite, TDRS-J)","USA","Government","Communications","GEO","1436.04","3,180",2002-12-04,"Cape Canaveral",35785
"TDRS-11 (Tracking and Data Relay Satellite, TDRS K)","USA","Government","Communications","GEO","1436.18","3,454",2013-01-31,"Cape Canaveral",35788
"TDRS-12 (Tracking and Data Relay Satellite, TDRS L)","NR","Government","Communications","GEO","1435.88","3,454",2014-01-23,"Cape Canaveral",35782.5
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ","USA","Government","Communications","GEO","1436.06","3,180",1988-09-29,"Cape Canaveral",35785.5
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)","USA","Government/Commercial","Communications","GEO","1436.99","3,180",1991-08-02,"Cape Canaveral",35784.5
"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)","USA","Government/Commercial","Communications","GEO","1435.7","3,180",1993-01-13,"Cape Canaveral",35780
"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)","USA","Government","Communications","GEO","1436.04","3,180",1995-07-13,"Cape Canaveral",35785
"TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)","USA","Government","Communications","GEO","1436.2","3,180",2000-06-30,"Cape Canaveral",35788
"TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)","USA","Government","Communications","GEO","1436.11","3,180",2002-03-08,"Cape Canaveral",35788.5
"TechDemoSat-1","United Kingdom","Government","Technology Development","LEO","97.27","150",2014-07-08,"Baikonur Cosmodrome",628
"TecSAR (Ofeq 8, Polaris)","NR","Military","Earth Observation","LEO","94.5","300",2008-01-21,"Sriharikota Launch Station",492.5
"Telkom 1 ","Indonesia","Commercial","Communications","GEO","1436.13","2,763",1999-08-12,"Guiana Space Center",35787
"Telkom 2","Indonesia","Commercial","Communications","GEO","1436.1","1,930",2005-11-16,"Guiana Space Center",35787
"Telstar 11N","NR","Commercial","Communications","GEO","1436.13","4,010",2009-02-26,"Sea Launch (Odyssey)",35787.5
"Telstar 12 (Orion 2)","USA","Commercial","Communications","GEO","1436.09","3,878",1999-10-19,"Guiana Space Center",35786
"Telstar 14R (Estrela do Sul 2)","Brazil","Commercial","Communications","GEO","1436.1","4,970",2011-05-20,"Baikonur Cosmodrome",35787
"Telstar 18 (Apstar 5)","NR","Commercial","Communications","GEO","1436.1","4,640",2004-06-29,"Sea Launch (Odyssey)",35786.5
"TerraSAR-X 1 (Terra Synthetic Aperture Radar X-Band)","Germany","Government/Commercial","Earth Observation","LEO","94.8","1,230",2007-06-15,"Baikonur Cosmodrome",508
"TerraStar 1","USA","Commercial","Communications","GEO","1436.11","6,910",2009-07-01,"Guiana Space Center",35787
"TET-1 (Technologieerprobungsträger 1, Technology Experiment Carrier)","Germany","Commercial","Technology Development","LEO","94.7","120",2012-07-22,"Baikonur Cosmodrome",503
"Thaicom-4 (Ipstar 1, Measat 5)","NR","Commercial","Communications","GEO","1436.1","6,505",2005-08-11,"Guiana Space Center",35786.5
"Thaicom-5","NR","Commercial","Communications","GEO","1436.1","2,800",2006-05-27,"Guiana Space Center",35786.5
"Thaicom-6","NR","Commercial","Communications","GEO","1436.3","3,325",2014-01-06,"Cape Canaveral",35791
"THEOS (Thailand Earth Observation System)","Thailand","Government","Earth Observation","LEO","101.4","750",2008-10-01,"Dombarovsky Air Base",825
"Thor-3 ","Norway","Commercial","Communications","GEO","1436.07","1,400",1998-06-10,"Cape Canaveral",35786
"Thor-5 (Thor 2R)","Norway","Commercial","Communications","GEO","1436.1","2,024",2008-02-11,"Baikonur Cosmodrome",35785.5
"Thor-6","Norway","Commercial","Communications","GEO","1436.1","3,050",2009-10-29,"Guiana Space Center",35786.5
"Thor-7","NR","Commercial","Communications","GEO","1433.4","4,600",2015-04-26,"Guiana Space Center",35734
"Thuraya 2 ","United Arab Emirates","Commercial","Communications","GEO","1436.07","5,250",2003-06-10,"Sea Launch (Odyssey)",35785.5
"Thuraya 3","United Arab Emirates","Commercial","Communications","GEO","1436.1","5,180",2008-01-15,"Sea Launch (Odyssey)",35786.5
"Tian Xun-1 (TX-1)","China","Civil","Technology Development","LEO","94","35",2011-11-09,"Taiyuan Launch Center",469.5
"Tiangong-1 (TG-1)","China","Government","Technology Development","LEO","91.8","8,506",2011-09-29,"Jiuquan Satellite Launch Center",360.5
"Tianhui 1-01","China","Government","Earth Observation","LEO","94.5","2,500",2010-08-24,"Jiuquan Satellite Launch Center",496
"Tianhui 1-02","China","Government","Earth Observation","LEO","94.5","2,500",2012-05-06,"Jiuquan Satellite Launch Center",495
"TianLian 1 (TL-1-01, CTDRS)","China","Government","Communications","GEO","1436.08","3,750",2008-04-25,"Xichang Satellite Launch Center",35791
"TianLian 2 (TL-1-02, CTDRS)","China","Government","Communications","GEO","1436.1","2,250",2011-07-11,"Xichang Satellite Launch Center",37786
"TianLian 3 (TL-1-03, CTDRS)","China","Government","Communications","GEO","1436","2,200",2012-07-25,"Xichang Satellite Launch Center",35785
"Tiantuo-2","NR","Government","Earth Observation/Communications","LEO","94.31","67",2014-09-08,"Taiyuan Launch Center",485
"TIGRISat","Italy","Civil","Earth Observation","LEO","97.82","1",2014-06-19,"Dombarovsky Air Base",654.5
"TIMED (Thermosphere • Ionosphere • Mesosphere • Energetics and Dynamics)","USA","Government/Civil","Space Science","LEO","97","587",2001-12-07,"Vandenberg AFB",612.5
"TISat-1 (Ticano Satellite)","NR","Civil","Technology Development","LEO","97.1","1",2010-07-12,"Sriharikota Launch Station",621
"TKSat-1 (Túpac Katari Satellite 1)","Bolivia","Government","Communications","GEO","1436.07","5,000",2013-12-20,"Xichang Satellite Launch Center",35786
"Tselina-2 (Cosmos 2428)","Russia","Military","Earth Observation","LEO","102","3,200",2007-06-29,"Baikonur Cosmodrome",851
"TSUBAME","NR","Civil","Earth Observation","LEO","95.38","49",2014-11-06,"Dombarovsky Air Base",537
"TUGSat-1  (Technische Universität Graz Satellit, CanX-3b, BRITE-Austria)","Austria","Civil","Technology Development","LEO","100.3","14",2013-02-25,"Satish Dhawan Space Centre",777
"Turkmen Alem 52E/MonacoSAT","NR","Government/Commercial","Communications","GEO","1432.69","4,700",2015-04-27,"Cape Canaveral",35719.5
"Turksat 3A","Turkey","Commercial","Communications","GEO","1436.06","3,100",2008-06-12,"Guiana Space Center",35785.5
"Turksat 4A","NR","Commercial","Communications","GEO","1436.08","4,869",2014-02-14,"Baikonur Cosmodrome",35786.5
"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""","USA","Military","Communications","GEO","1436.1","3,200",1999-11-24,"Cape Canaveral",35786
"UFO-11  (USA 174) ""UHF Follow-On""","USA","Military","Communications","GEO","1436.1","3,200",2003-12-18,"Cape Canaveral",35786.5
"UFO-2 (USA 95) ""UHF Follow-On""","USA","Military","Communications","GEO","1436.12","3,200",1993-09-03,"Cape Canaveral",35786.5
"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""","USA","Military","Communications","GEO","1435.22","3,200",1995-01-29,"Cape Canaveral",35769
"UFO-6 (USA 114, UFO F6 EHF) ""UHF Follow-On""","USA","Military","Communications","GEO","1436.12","3,200",1995-10-22,"Cape Canaveral",35786.5
"UFO-7 (USA 127, F7 EHF) ""UHF Follow-On""","USA","Military","Communications","GEO","1436.11","3,200",1996-07-25,"Cape Canaveral",35786.5
"UFO-8 (USA 138, UHF F/O F8) ""UHF Follow-On""","USA","Military","Communications","GEO","1435.94","3,206",1998-03-16,"Cape Canaveral",35783
"UK-DMC-2 (BNSCSat-2, British National Science Center Satellite 2)","United Kingdom","Government","Earth Observation","LEO","98","97",2009-07-29,"Baikonur Cosmodrome",661
"UKube-1 (UK Cubesat 1)","United Kingdom","Government","Technology Development","LEO","97.27","3",2014-07-08,"Baikonur Cosmodrome",628.5
"UNIFORM 1  (UNiversity International FORmation Mission 1)","NR","Civil","Earth Observation","LEO","97.2","50",2014-05-24,"Tanegashima Space Center",625.5
"USS Langley (Unix Space Server Langley)","NR","Civil","Technology Development","LEO","95.19","10",2015-05-20,"Cape Canaveral",528
"UWE-3 (University of Würzburg Experimental Satellite 3)","Germany","Civil","Communications","LEO","97.6","1",2013-11-21,"Dombarovsky Air Base",646.5
"Velox 1","NR","Civil","Technology Development","LEO","97.7","4",2014-06-30,"Sriharikota Launch Station",648.5
"VeneSat 1 (Simon Bolivar)","Venezuela/China","Government","Communications","GEO","1436.1","5,100",2008-10-29,"Xichang Satellite Launch Center",35786.5
"Vermont Lunar Cubesat","USA","Civil","Technology Development","LEO","94.6","1",2013-11-19,"Wallops Island Flight Facility",499
"Vesselsat-1","Luxembourg","Commercial","Communications","LEO","102.1","29",2011-10-12,"Sriharikota Launch Station",857
"Vesselsat-2","Luxembourg","Commercial","Communications","LEO","94.3","29",2012-01-09,"Taiyuan Launch Center",484.5
"ViaSat-1","USA","Commercial","Communications","GEO","1436.09","6,740",2011-10-19,"Baikonur Cosmodrome",35785.5
"Vinasat 1","NR","Government","Communications","GEO","1436.1","2,600",2008-04-18,"Guiana Space Center",35786.5
"Vinasat 2","NR","Government","Communications","GEO","1434.69","2,970",2012-05-15,"Guiana Space Center",35759
"VNREDSat 1A  (Vietnam Natural Resources Environment and Disaster monitoring small Satellite)","NR","Government","Earth Observation","LEO","98.43","115",2013-05-07,"Guiana Space Center",683.5
"VRSS-1 (Venezuelan Remote Sensing Satellite, Francisco Miranda)","Venezuela","Government","Earth Observation","LEO","97.48","880",2012-09-28,"Jiuquan Satellite Launch Center",638
"Wideband Global Satcom 1 (WGS-1, USA 195)","USA","Military","Communications","GEO","1436.1","5,900",2007-10-11,"Cape Canaveral",35786.5
"Wideband Global Satcom 2 (WGS-2, USA 204)","USA","Military","Communications","GEO","1436.12","5,987",2009-04-04,"Cape Canaveral",35786.5
"Wideband Global Satcom 3 (WGS-3, USA 211)","USA","Military","Communications","GEO","1436.1","5,990",2009-12-06,"Cape Canaveral",35785.5
"Wideband Global Satcom 4 (WGS-4, USA 233)","USA","Military","Communications","GEO","1436.1","5,990",2012-01-20,"Cape Canaveral",35785.5
"Wideband Global Satcom 5 (WGS-5, USA 243)","USA","Military","Communications","GEO","1436.1","5,990",2013-05-25,"Cape Canaveral",35785.5
"Wideband Global Satcom 6 (WGS-6, USA 244)","USA","Military","Communications","GEO","1436.1","5,990",2013-08-08,"Cape Canaveral",35785.5
"Wideband Global Satcom 7 (WGS-7, USA 263)","USA","Military","Communications","GEO","1436","5,990",2015-07-24,"Cape Canaveral",36000
"WildBlue 1","USA","Commercial","Communications","GEO","1436.1","4,735",2006-12-08,"Guiana Space Center",35786
"WNISat-1 Weather News Inc. Satellite 1)","Japan","Commercial","Earth Observation","LEO","99.2","10",2013-11-21,"Dombarovsky Air Base",721.5
"Worldview 1","USA","Commercial","Earth Observation","LEO","94.50","4,500",2007-09-18,"Vandenberg AFB",492.5
"Worldview 2","USA","Commercial","Earth Observation","LEO","100.20","2,800",2009-10-08,"Vandenberg AFB",766
"Worldview 3","NR","Commercial","Earth Observation","LEO","96.96","2,800",2014-08-13,"Vandenberg AFB",613
"Wren","Germany","Commercial","Technology Development","LEO","97.30","3",2013-11-21,"Dombarovsky Air Base",616.5
"X37-B OTV-4 (USA 261)","NR","Military","Technology Development","LEO","90.83","4,990",2015-05-20,"Cape Canaveral",315.5
"Xinyan 1 (XY-1)","NR","Government","Technology Development","LEO","94.51","",2012-11-18,"Taiyuan Launch Center",495
"XM Radio 3 (Rhythm)","USA","Commercial","Communications","GEO","1436.1","4,703",2005-03-01,"Sea Launch (Odyssey)",35786
"XM Radio 4 (Blues)","USA","Commercial","Communications","GEO","1436.09","5,193",2006-10-30,"Sea Launch (Odyssey)",35785.5
"XM Roll (XM 1)","USA","Commercial","Communications","GEO","1436.11","4,667",2001-05-08,"Sea Launch (Odyssey)",35786.5
"X-Sat","NR","Government","Earth Observation","LEO","101.1","91",2011-04-20,"Sriharikota Launch Station",812
"XTAR-EUR","USA","Military/Government","Communications","GEO","1436.06","3,631",2005-02-12,"Guiana Space Center",35785
"XW-1 (Hope Oscar 68, HO-68, Xi Wang 1, Hope-1, CAS-1)","China","Civil","Communications","LEO","109.40","60",2009-12-15,"Taiyuan Launch Center",1199
"Yahsat-1A (Y1A)","United Arab Emirates","Military/Commercial","Communications","GEO","1435.92","5,953",2011-04-22,"Guiana Space Center",35783
