"Year"	"income_population_male"	"median_male"	"income_population_female"	"median_female"	"group"	"factor"	"Average_Income"	"Population"	"Difference_Income"	"Difference_Population"	"Differenc_Income_Norm"
1986	8494	31808	5162	19133	"exacutive_administrative_managerial"	"Job_type"	27016.8202987698	13656	12675	3332	0.46915217482411
1985	8300	30652	4792	17556	"exacutive_administrative_managerial"	"Job_type"	25858.5358997861	13092	13096	3508	0.506447853457485
1984	8174	29980	4616	16093	"exacutive_administrative_managerial"	"Job_type"	24968.0850664582	12790	13887	3558	0.556190030714675
1983	7844	27994	4175	15511	"exacutive_administrative_managerial"	"Job_type"	23657.8218653798	12019	12483	3669	0.527647898907687
1982	7616	26119	3783	14592	"exacutive_administrative_managerial"	"Job_type"	22293.520484253	11399	11527	3833	0.517056066050316
2001	401	57350	455	40389	"administrator and officials"	"Job_type"	48334.5151869159	856	16961	-54	0.350908660910523
2000	449	50607	436	39606	"administrator and officials"	"Job_type"	45187.2983050847	885	11001	13	0.24345336881453
1999	403	50235	396	36201	"administrator and officials"	"Job_type"	43279.4755944931	799	14034	7	0.32426455744269
1998	424	50637	378	34825	"administrator and officials"	"Job_type"	43184.4613466334	802	15812	46	0.366150219475475
1997	409	47205	299	31723	"administrator and officials"	"Job_type"	40666.697740113	708	15482	110	0.380704627135948
1996	373	44004	311	32214	"administrator and officials"	"Job_type"	38643.3421052632	684	11790	62	0.305097834651165
1995	402	44491	363	31332	"administrator and officials"	"Job_type"	38246.9254901961	765	13159	39	0.344053798608546
1994	392	41543	369	29693	"administrator and officials"	"Job_type"	35797.073587385	761	11850	23	0.331032646315982
1993	379	41255	336	27143	"administrator and officials"	"Job_type"	34623.3468531469	715	14112	43	0.407586246929141
1992	361	42213	285	27350	"administrator and officials"	"Job_type"	35655.7941176471	646	14863	76	0.416846696807795
1991	393	39173	260	27101	"administrator and officials"	"Job_type"	34366.3843797856	653	12072	133	0.351273496408333
1990	309	35443	274	25533	"administrator and officials"	"Job_type"	30785.4699828473	583	9910	35	0.321905106711755
1989	422	34632	303	22709	"administrator and officials"	"Job_type"	29649.0082758621	725	11923	119	0.402138239804357
1988	361	34968	243	22482	"administrator and officials"	"Job_type"	29944.6589403974	604	12486	118	0.416969183881923
1987	352	33828	265	20557	"administrator and officials"	"Job_type"	28128.1377633711	617	13271	87	0.471805140875045
1986	322	30816	229	19833	"administrator and officials"	"Job_type"	26251.3774954628	551	10983	93	0.418378045186325
1985	350	27752	217	18345	"administrator and officials"	"Job_type"	24151.7901234568	567	9407	133	0.389494938135608
1984	307	26105	177	15458	"administrator and officials"	"Job_type"	22211.3657024793	484	10647	130	0.479349182874042
1983	310	28273	197	17021	"administrator and officials"	"Job_type"	23900.9211045365	507	11252	113	0.470776835369091
1982	292	27199	170	15568	"administrator and officials"	"Job_type"	22919.1948051948	462	11631	122	0.507478561042805
2001	2354	48553	3237	34104	"management_related"	"Job_type"	40187.5174387408	5591	14449	-883	0.359539501837233
2000	2280	49247	3227	32163	"management_related"	"Job_type"	39236.0924278191	5507	17084	-947	0.435415428573288
1999	2264	47085	2977	30807	"management_related"	"Job_type"	37838.748139668	5241	16278	-713	0.430193936118491
1998	2066	41789	2964	30081	"management_related"	"Job_type"	34889.8922465209	5030	11708	-898	0.335569967292389
1997	1983	40877	2808	27352	"management_related"	"Job_type"	32950.0118973074	4791	13525	-825	0.410470261502552
1996	1854	39480	2761	26689	"management_related"	"Job_type"	31827.5729144095	4615	12791	-907	0.401884241515916
1995	1979	39109	2628	26539	"management_related"	"Job_type"	31938.6158020404	4607	12570	-649	0.393567463221026
1994	2075	36415	2405	25834	"management_related"	"Job_type"	30734.7979910714	4480	10581	-330	0.344267758098616
1993	2085	35799	2383	25277	"management_related"	"Job_type"	30187.1096687556	4468	10522	-298	0.348559372376433
1992	2088	35820	2542	24315	"management_related"	"Job_type"	29503.4319654428	4630	11505	-454	0.389954633531304
1991	1967	35179	2215	24412	"management_related"	"Job_type"	29476.2489239598	4182	10767	-248	0.365277143227272
1990	2077	33032	2138	23798	"management_related"	"Job_type"	28348.1822064057	4215	9234	-61	0.325735171756919
1989	2013	33831	2109	22374	"management_related"	"Job_type"	27969.0851528384	4122	11457	-96	0.409630845535085
1988	1946	31711	2135	20911	"management_related"	"Job_type"	26060.9142367067	4081	10800	-189	0.414413704059094
1987	2184	28559	2051	20247	"management_related"	"Job_type"	24533.5190082645	4235	8312	133	0.338801783682153
1986	1905	29716	1708	19549	"management_related"	"Job_type"	24909.6794907279	3613	10167	197	0.408154589214383
1985	1903	27536	1581	18211	"management_related"	"Job_type"	23304.4199196326	3484	9325	322	0.400138687517566
1984	1851	26952	1591	16948	"management_related"	"Job_type"	22327.8384660081	3442	10004	260	0.448050536339649
1983	1935	25300	1376	16532	"management_related"	"Job_type"	21656.1558441558	3311	8768	559	0.404873333157424
1982	1921	23446	1322	14986	"management_related"	"Job_type"	19997.3043478261	3243	8460	599	0.423057020728881
2001	10426	51399	12646	34411	"professional_speciality"	"Job_type"	42087.7028432732	23072	16988	-2220	0.403633338299791
2000	10455	51167	12313	32508	"professional_speciality"	"Job_type"	41076.1590390021	22768	18659	-1858	0.454253767551225
1999	10034	50445	11969	31376	"professional_speciality"	"Job_type"	40072.0117256738	22003	19069	-1935	0.475868297567468
1998	9793	46981	11577	30489	"professional_speciality"	"Job_type"	38046.6114178755	21370	16492	-1784	0.433468300734176
1997	9639	44401	11176	29257	"professional_speciality"	"Job_type"	36269.8760989671	20815	15144	-1537	0.41753657935521
1996	9118	42309	10821	27721	"professional_speciality"	"Job_type"	34392.0157981845	19939	14588	-1703	0.424168216414058
1995	8799	41639	10487	27234	"professional_speciality"	"Job_type"	33806.1038577206	19286	14405	-1688	0.426106482445483
1994	8777	41090	10198	26449	"professional_speciality"	"Job_type"	33221.2823188406	18975	14641	-1421	0.440711465002564
1993	8577	40505	9629	25865	"professional_speciality"	"Job_type"	32762.0273536197	18206	14640	-1052	0.446858793016132
1992	8208	39846	9559	25717	"professional_speciality"	"Job_type"	32244.3164856194	17767	14129	-1351	0.438185749922823
1991	8084	37467	9138	24925	"professional_speciality"	"Job_type"	30812.209847869	17222	12542	-1054	0.407046429383818
1990	8035	36942	8814	23113	"professional_speciality"	"Job_type"	29707.8136387916	16849	13829	-779	0.465500429218476
1989	8053	35548	8703	22089	"professional_speciality"	"Job_type"	28557.4487347816	16756	13459	-650	0.471295602243614
1988	8200	33740	8488	20245	"professional_speciality"	"Job_type"	26876.052253116	16688	13495	-288	0.502119875080812
1987	8868	31081	8227	19041	"professional_speciality"	"Job_type"	25286.7279906405	17095	12040	641	0.476139103661668
1986	7620	31429	8051	18196	"professional_speciality"	"Job_type"	24630.5261948823	15671	13233	-431	0.537260141959515
1985	7225	29698	7671	17032	"professional_speciality"	"Job_type"	23175.3841299678	14896	12666	-446	0.546528158021846
1984	7152	28363	7400	16108	"professional_speciality"	"Job_type"	22131.0731170973	14552	12255	-248	0.553746306614135
1983	7237	26053	7234	15199	"professional_speciality"	"Job_type"	20627.1250777417	14471	10854	3	0.526200328891801
1982	7113	24784	6854	13696	"professional_speciality"	"Job_type"	19342.8063292046	13967	11088	259	0.573236365565988
2001	340	33949	1218	23847	"health_technologist"	"Job_type"	26051.5442875481	1558	10102	-878	0.387769718696809
2000	354	32370	1148	24332	"health_technologist"	"Job_type"	26226.4420772304	1502	8038	-794	0.306484576761502
1999	276	33388	1179	21632	"health_technologist"	"Job_type"	23862.0041237113	1455	11756	-903	0.492666078634955
1998	290	30748	943	22618	"health_technologist"	"Job_type"	24530.1654501217	1233	8130	-653	0.331428665515164
1997	309	29562	1079	21424	"health_technologist"	"Job_type"	23235.7017291066	1388	8138	-770	0.350236893848822
1996	351	30341	994	21441	"health_technologist"	"Job_type"	23763.6022304833	1345	8900	-643	0.374522343610992
1995	335	29564	1021	20279	"health_technologist"	"Job_type"	22572.860619469	1356	9285	-686	0.411334662297596
1994	309	24441	960	21549	"health_technologist"	"Job_type"	22253.1985815603	1269	2892	-651	0.129958845664389
1993	308	26141	963	20325	"health_technologist"	"Job_type"	21734.384736428	1271	5816	-655	0.26759441642956
1992	279	29014	854	18470	"health_technologist"	"Job_type"	21066.4483671668	1133	10544	-575	0.500511515573427
1991	253	25534	829	17746	"health_technologist"	"Job_type"	19567.0388170055	1082	7788	-576	0.398016279971373
1990	220	26756	747	18813	"health_technologist"	"Job_type"	20620.0941054809	967	7943	-527	0.385206777397235
1989	212	23381	672	18766	"health_technologist"	"Job_type"	19872.7647058824	884	4615	-460	0.232227375923892
1988	196	21276	688	16769	"health_technologist"	"Job_type"	17768.2895927602	884	4507	-492	0.253654127847872
1987	271	19305	612	15518	"health_technologist"	"Job_type"	16680.261608154	883	3787	-341	0.227034808503768
1986	171	20517	563	15752	"health_technologist"	"Job_type"	16862.1021798365	734	4765	-392	0.282586355436627
1985	166	19686	555	15353	"health_technologist"	"Job_type"	16350.6116504854	721	4333	-389	0.265005376717596
1984	188	19393	551	14895	"health_technologist"	"Job_type"	16039.2814614344	739	4498	-363	0.280436502770726
1983	151	19891	586	12413	"health_technologist"	"Job_type"	13945.1275440977	737	7478	-435	0.536244647196868
1982	192	15665	557	12365	"health_technologist"	"Job_type"	13210.9279038718	749	3300	-365	0.249793203324714
2001	1732	45113	1024	29740	"technologist_technician"	"Job_type"	39401.1161103048	2756	15373	708	0.390166612462519
2000	1887	41835	1020	30948	"technologist_technician"	"Job_type"	38015	2907	10887	867	0.286386952518743
1999	1942	40047	932	30305	"technologist_technician"	"Job_type"	36887.7988865692	2874	9742	1010	0.264098165085883
1998	1808	38358	887	26597	"technologist_technician"	"Job_type"	34487.1254174397	2695	11761	921	0.341025813477995
1997	1745	36195	858	27599	"technologist_technician"	"Job_type"	33361.5893200154	2603	8596	887	0.257661585530124
1996	1654	35288	821	26760	"technologist_technician"	"Job_type"	32459.115959596	2475	8528	833	0.262730507220695
1995	1478	32304	885	24612	"technologist_technician"	"Job_type"	29423.162082099	2363	7692	593	0.261426694334794
1994	1649	31911	784	25520	"technologist_technician"	"Job_type"	29851.5902178381	2433	6391	865	0.214092447114627
1993	1651	31750	805	24846	"technologist_technician"	"Job_type"	29487.0846905537	2456	6904	846	0.234136404885482
1992	1802	29884	909	22799	"technologist_technician"	"Job_type"	27508.3950571745	2711	7085	893	0.25755773774785
1991	1991	29431	937	21894	"technologist_technician"	"Job_type"	27019.0570355191	2928	7537	1054	0.278951259849368
1990	1803	28580	808	23775	"technologist_technician"	"Job_type"	27093.0448104175	2611	4805	995	0.177351790233353
1989	1887	28269	906	20671	"technologist_technician"	"Job_type"	25804.3426423201	2793	7598	981	0.294446562941658
1988	1701	29043	769	20105	"technologist_technician"	"Job_type"	26260.2785425101	2470	8938	932	0.340361964764813
1987	1981	25710	870	18296	"technologist_technician"	"Job_type"	23447.5727814802	2851	7414	1111	0.316194775002719
1986	1619	25615	724	19184	"technologist_technician"	"Job_type"	23627.7853179684	2343	6431	895	0.272179551043634
1985	1715	24099	632	17652	"technologist_technician"	"Job_type"	22362.9522795058	2347	6447	1083	0.28828930632331
1984	1661	23831	664	16566	"technologist_technician"	"Job_type"	21756.1784946237	2325	7265	997	0.333928129969853
1983	1588	21996	649	15652	"technologist_technician"	"Job_type"	20155.4742959321	2237	6344	939	0.314753198404287
1982	1496	20432	549	13881	"technologist_technician"	"Job_type"	18673.3207823961	2045	6551	947	0.350821371106945
2001	8846	32732	9366	13038	"sales"	"Job_type"	22603.8425214145	18212	19694	-520	0.871267793577233
2000	8814	31742	9553	12116	"sales"	"Job_type"	21534.1719388033	18367	19626	-739	0.911388655007213
1999	8852	31422	9732	11487	"sales"	"Job_type"	20982.5133448127	18584	19935	-880	0.950076841244011
1998	8788	30332	9268	11432	"sales"	"Job_type"	20630.7815684537	18056	18900	-480	0.916106834696936
1997	8566	27550	9244	10535	"sales"	"Job_type"	18718.6322290848	17810	17015	-678	0.908987355046289
1996	8324	27493	9326	10112	"sales"	"Job_type"	18309.1356373938	17650	17381	-1002	0.949307512065278
1995	8479	26047	9056	9571	"sales"	"Job_type"	17537.9235243798	17535	16476	-577	0.939449871422714
1994	8364	25790	8626	9070	"sales"	"Job_type"	17301.0818128311	16990	16720	-262	0.966413556151146
1993	7967	25319	8653	8238	"sales"	"Job_type"	16425.9859807461	16620	17081	-686	1.03987669416142
1992	8064	22813	8348	8422	"sales"	"Job_type"	15492.9861077261	16412	14391	-284	0.928871935980339
1991	7943	24148	8232	7737	"sales"	"Job_type"	15795.8916846986	16175	16411	-289	1.03894103147702
1990	7871	22955	8393	7307	"sales"	"Job_type"	14879.8853910477	16264	15648	-522	1.05162100303638
1989	7929	22777	8653	6990	"sales"	"Job_type"	14538.8555662767	16582	15787	-724	1.08584887772174
1988	7599	21795	8565	6570	"sales"	"Job_type"	13727.5584632517	16164	15225	-966	1.10908287447888
1987	8884	21029	8558	6544	"sales"	"Job_type"	13921.8660704048	17442	14485	326	1.04044960113446
1986	7424	21076	7745	5475	"sales"	"Job_type"	13110.42909882	15169	15601	-321	1.18996867931685
1985	7236	20058	7862	5293	"sales"	"Job_type"	12369.4034971519	15098	14765	-626	1.1936711421371
1984	6967	18208	7354	5212	"sales"	"Job_type"	11534.4029048251	14321	12996	-387	1.12671632049228
1983	7045	17433	6968	4774	"sales"	"Job_type"	11138.2799543281	14013	12659	77	1.13653095917031
1982	6662	16943	6726	4776	"sales"	"Job_type"	10830.4184344189	13388	12167	-64	1.12340996552206
2001	8768	16642	13165	11045	"service"	"Job_type"	13282.473031505	21933	5597	-4397	0.421382372599164
2000	8509	16624	13177	10496	"service"	"Job_type"	12900.461495896	21686	6128	-4668	0.475021765845315
1999	8786	15266	13126	9910	"service"	"Job_type"	12057.5819642205	21912	5356	-4340	0.444201832166127
1998	8168	14205	13011	9203	"service"	"Job_type"	11132.0965579111	21179	5002	-4843	0.449331352273016
1997	8481	13145	12376	8603	"service"	"Job_type"	10449.8956225728	20857	4542	-3895	0.434645489682103
1996	8340	20034	12545	7756	"service"	"Job_type"	12658.9695954034	20885	12278	-4205	0.969905165461355
1995	8147	12345	12294	7483	"service"	"Job_type"	9420.80705444939	20441	4862	-4147	0.51609166517254
1994	8118	11746	12438	7059	"service"	"Job_type"	8909.99562171629	20556	4687	-4320	0.526038417861441
1993	8393	10795	12118	6684	"service"	"Job_type"	8366.20091658135	20511	4111	-3725	0.491381935599015
1992	8327	10574	12110	6461	"service"	"Job_type"	8136.83065029114	20437	4113	-3783	0.505479366201733
1991	8004	10707	11676	6049	"service"	"Job_type"	7943.44268292683	19680	4658	-3672	0.586395620379012
1990	7801	10514	11722	5746	"service"	"Job_type"	7651.19735696358	19523	4768	-3921	0.623170436933051
1989	7465	10558	11611	5487	"service"	"Job_type"	7471.43148458796	19076	5071	-4146	0.678718664617408
1988	7200	9600	11477	5181	"service"	"Job_type"	6884.52840391926	18677	4419	-4277	0.641874031267607
1987	9198	10415	12208	4983	"service"	"Job_type"	7317.09025506867	21406	5432	-3010	0.742371600000036
1986	7197	9319	11431	4529	"service"	"Job_type"	6379.63506549281	18628	4790	-4234	0.750826646168042
1985	7124	8038	11377	4224	"service"	"Job_type"	5692.61985838603	18501	3814	-4253	0.669990284768697
1984	7031	7507	11178	3833	"service"	"Job_type"	5251.63331319677	18209	3674	-4147	0.699591875687064
1983	6775	7344	10960	3785	"service"	"Job_type"	5144.58415562447	17735	3559	-4185	0.691795467299143
1982	6738	6524	10832	3424	"service"	"Job_type"	4612.83323847467	17570	3100	-4094	0.672038168244096
2001	3032	13713	793	7063	"farming_forestry_fishing"	"Job_type"	12334.3202614379	3825	6650	2239	0.539146046076864
2000	3173	13306	784	8500	"farming_forestry_fishing"	"Job_type"	12353.7877179682	3957	4806	2389	0.389030482773299
1999	3258	12094	862	6251	"farming_forestry_fishing"	"Job_type"	10871.5082524272	4120	5843	2396	0.537459924081416
1998	3184	12045	785	5934	"farming_forestry_fishing"	"Job_type"	10836.3492063492	3969	6111	2399	0.563935314710923
1997	3013	11645	742	6235	"farming_forestry_fishing"	"Job_type"	10575.9667110519	3755	5410	2271	0.511537162304655
1996	3284	11355	707	5332	"farming_forestry_fishing"	"Job_type"	10288.0340766725	3991	6023	2577	0.585437407682852
1995	3462	10756	789	5015	"farming_forestry_fishing"	"Job_type"	9690.45095271701	4251	5741	2673	0.592438889378036
1994	3456	10431	752	4223	"farming_forestry_fishing"	"Job_type"	9321.5855513308	4208	6208	2704	0.665981121539319
1993	3521	8416	794	3106	"farming_forestry_fishing"	"Job_type"	7438.91077636153	4315	5310	2727	0.713814180548243
1992	3708	7771	686	3675	"farming_forestry_fishing"	"Job_type"	7131.52435138826	4394	4096	3022	0.574351260429007
1991	3282	8471	654	3530	"farming_forestry_fishing"	"Job_type"	7650.01067073171	3936	4941	2628	0.645881452022524
1990	3548	7881	680	3810	"farming_forestry_fishing"	"Job_type"	7226.25070955535	4228	4071	2868	0.563362684693028
1989	3531	7668	656	3977	"farming_forestry_fishing"	"Job_type"	7089.71101026988	4187	3691	2875	0.520613603947095
1988	3467	7290	691	2439	"farming_forestry_fishing"	"Job_type"	6483.83333333333	4158	4851	2776	0.748168521707837
1987	3939	7091	836	3716	"farming_forestry_fishing"	"Job_type"	6500.10994764398	4775	3375	3103	0.519221986579365
1986	3790	4908	697	2271	"farming_forestry_fishing"	"Job_type"	4498.37463784266	4487	2637	3093	0.586211734748856
1985	3776	3968	654	1726	"farming_forestry_fishing"	"Job_type"	3637.01399548533	4430	2242	3122	0.616439750515952
1984	3655	3544	709	1788	"farming_forestry_fishing"	"Job_type"	3258.71035747021	4364	1756	2946	0.538863478914159
1983	3842	4230	758	1591	"farming_forestry_fishing"	"Job_type"	3795.13869565217	4600	2639	3084	0.695363255899796
1982	3879	3682	697	1796	"farming_forestry_fishing"	"Job_type"	3394.73120629371	4576	1886	3182	0.555566813803528
2001	15743	23586	4743	16333	"operator_laborer"	"Job_type"	21906.756663087	20486	7253	11000	0.331085067111799
2000	15844	22290	5094	15096	"operator_laborer"	"Job_type"	20539.7738083867	20938	7194	10750	0.350247284469247
1999	15765	21688	5071	14157	"operator_laborer"	"Job_type"	19855.1289594932	20836	7531	10694	0.379297460891044
1998	15320	21640	4999	13621	"operator_laborer"	"Job_type"	19667.1184113391	20319	8019	10321	0.407736396979062
1997	15270	20379	5098	12929	"operator_laborer"	"Job_type"	18514.3053809898	20368	7450	10172	0.402391547870305
1996	15617	19520	5281	12276	"operator_laborer"	"Job_type"	17689.4150636425	20898	7244	10336	0.409510431743376
1995	15446	18462	5245	11838	"operator_laborer"	"Job_type"	16782.8699434537	20691	6624	10201	0.394688156573826
1994	15308	17466	5248	11324	"operator_laborer"	"Job_type"	15897.9315041837	20556	6142	10060	0.386339568665501
1993	15107	17188	4903	11182	"operator_laborer"	"Job_type"	15716.3649175412	20010	6006	10204	0.382149436686637
1992	14948	16645	5132	10988	"operator_laborer"	"Job_type"	15199.1970119522	20080	5657	9816	0.372190714782597
1991	14771	16599	4970	10782	"operator_laborer"	"Job_type"	15134.510359151	19741	5817	9801	0.384353366046149
1990	15330	16587	5278	10566	"operator_laborer"	"Job_type"	15044.9368206522	20608	6021	10052	0.400201082382412
1989	14983	15961	5361	10050	"operator_laborer"	"Job_type"	14403.3480633111	20344	5911	9622	0.410390693470555
1988	14978	15388	5630	9460	"operator_laborer"	"Job_type"	13768.5007763975	20608	5928	9348	0.430547965698778
1987	12326	14099	2771	8742	"operator_laborer"	"Job_type"	13115.7419354839	15097	5357	9555	0.408440485208614
1986	14839	14361	5288	8603	"operator_laborer"	"Job_type"	12848.1911362846	20127	5758	9551	0.448156471126805
1985	14691	13641	5114	8446	"operator_laborer"	"Job_type"	12299.5594546832	19805	5195	9577	0.42237285157575
1984	14281	12791	5443	8081	"operator_laborer"	"Job_type"	11491.23676739	19724	4710	8838	0.409877552376792
1983	14074	12181	5292	7853	"operator_laborer"	"Job_type"	10998.320251988	19366	4328	8782	0.393514636857177
1982	14281	11837	5524	7483	"operator_laborer"	"Job_type"	10622.5846503408	19805	4354	8757	0.409881412416921
2001	577	31918	76	33894	"armed_forces"	"Job_type"	32147.97856049	653	-1976	501	-0.0614657620317226
2000	636	31322	86	30640	"armed_forces"	"Job_type"	31240.7645429363	722	682	550	0.0218304516543659
1999	680	28639	89	25731	"armed_forces"	"Job_type"	28302.4434330299	769	2908	591	0.102747312502576
1998	726	29494	79	26202	"armed_forces"	"Job_type"	29170.9341614907	805	3292	647	0.11285205958011
1997	713	27112	115	22039	"armed_forces"	"Job_type"	26407.4166666667	828	5073	598	0.192105121982776
1996	699	25778	75	20551	"armed_forces"	"Job_type"	25271.507751938	774	5227	624	0.206833721648411
1995	748	24233	58	NA	"armed_forces"	"Job_type"	NA	806	NA	690	NA
1994	837	24956	87	22137	"armed_forces"	"Job_type"	24690.5746753247	924	2819	750	0.114173122216441
1993	836	23328	83	19039	"armed_forces"	"Job_type"	22940.6365614799	919	4289	753	0.186960810285524
1992	879	21358	67	NA	"armed_forces"	"Job_type"	NA	946	NA	812	NA
1991	928	20191	77	14534	"armed_forces"	"Job_type"	19757.5781094527	1005	5657	851	0.286320518064584
1990	877	19468	99	17314	"armed_forces"	"Job_type"	19249.5102459016	976	2154	778	0.111898950803624
1989	945	19580	80	12515	"armed_forces"	"Job_type"	19028.5853658537	1025	7065	865	0.371283511840979
1988	198	10999	25	NA	"armed_forces"	"Job_type"	NA	223	NA	173	NA
1987	220	12190	26	NA	"armed_forces"	"Job_type"	NA	246	NA	194	NA
1986	179	11291	20	NA	"armed_forces"	"Job_type"	NA	199	NA	159	NA
1985	139	8213	19	NA	"armed_forces"	"Job_type"	NA	158	NA	120	NA
1984	165	9074	22	NA	"armed_forces"	"Job_type"	NA	187	NA	143	NA
1983	188	9446	29	NA	"armed_forces"	"Job_type"	NA	217	NA	159	NA
1982	NA	NA	NA	NA	"armed_forces"	"Job_type"	NA	NA	NA	NA	NA
